"Please enter the first name.","Informe o nome."
"Please enter the last name.","Informe o sobrenome."
"Please enter the street.","Informe o logradouro."
"Please enter the city.","Informe a cidade."
"Please enter the telephone number.","Informe o telefone."
"Please enter the zip/postal code.","Informe o CEP."
"Please check shipping address information.","Verifique as informações do endereço de entrega."
"Please check the billing address information.","Verifique as informações do endereço de cobrança."
"Please enter the state/province.","Informe o estado."
"Please select a country.","Selecione um país."
"Please enter a valid zip/postal code.","Informe um CEP válido."
"Please enter a valid phone number.","Informe um telefone válido."
"Invalid Zip/Postal Code","CEP inválido."
